CODIGO (Cod),NOME (N),CREDITOS (Cr),FATOR (f),REQUISITOS...,,
116882,AUTOMATOS E COMPUTABILIDADE,6,D,30,,
113476,ALGORITMOS PROGR COMPUTADORES,6,F,,,
117943,COMPUTACAO EXPERIMENTAL,4,M,10,26,
113468,INTROD SISTEMAS COMPUTACIONAIS,4,F,,,
117919,METODOLOGIA CIENTIFICA,2,M,8,,
116441,ENGENHARIA DE SOFTWARE,4,M,15,,
117366,LOGICA COMPUTACIONAL 1,4,D,,,
116432,SOFTWARE BASICO,4,D,14,26,
116921,TRABALHO DE GRADUACAO 2,4,D,25,,
117951,COMPILADORES,4,D,15,7,
115045,PROBABILIDADE E ESTATISTICA,6,M,28,,
113417,CALCULO NUMERICO,4,F,21,,
113093,INTRODUCAO A ALGEBRA LINEAR,4,F,,,
116327,ORGANIZACAO DE ARQUIVOS,4,F,10,26,
116394,ORG ARQ DE COMPUTADORES,4,D,24,,
116343,LINGUAGENS DE PROGRAMACAO,4,D,26,,
117901,TEORIA E APLICACAO DE GRAFOS,4,M,26,,
116378,BANCOS DE DADOS,4,F,13,,
116416,SISTEMAS DE INFORMACAO,4,F,26,,
116653,INTRO INTELIGENCIA ARTIFICIAL,4,M,6,26,
117927,SEGURANCA COMPUTACIONAL,4,M,31,,
113042,CALCULO 2,6,D,28,,
117897,TECNICAS DE PROGRAMACAO 2,4,D,34,,
117960,FUNDAMENTOS SIST OPERACIONAIS,4,D,27,,
116351,CIRCUITOS DIGITAIS,6,F,,,
116912,TRABALHO DE GRADUACAO 1,2,D,,,
116319,ESTRUTURAS DE DADOS,4,M,1,,
117935,PROGRAMACAO CONCORRENTE,4,D,14,22,
113034,CALCULO 1,6,F,,,
117536,PROJETO ANALISE DE ALGORITMOS,4,M,28,34,
113107,ALGEBRA 1,4,D,,,
116572,REDES DE COMPUTADORES,4,M,26,21,10
113450,FUNDAMENTOS TEOR DA COMPUTACAO,4,F,,,
116726,INFORMATICA E SOCIEDADE,2,F,,,
117889,TECNICAS DE PROGRAMACAO 1,4,M,26,,
